car,model,body part,shop1 (eqbal),shop2(haraj),shop3 
tahoe,2019,fender (r/r),2600,1900,2500
tahoe,2019,front bumper,1200,1890,3312
tahoe,2019,headlight (l),1138,615,4395.3
tahoe,2019,headlight (r),1138,615,4395.3
tahoe,2019,passenger door (f/l),2100,3500,3000
tahoe,2019,passenger door (r/l),2100,3500,3000
tahoe,2019,passenger door (r/r),2100,3500,3000
tahoe,2019,rear bumper,1680,1045,4168
tahoe,2019,rear light (l),868,492,1666
tahoe,2019,rear light (r),868,429,1666
tahoe,2019,side bumper(l),null,450,650
tahoe,2019,side bumper(r),null,450,650
tahoe,2020,car boot,2800,3200,2000
tahoe,2020,car hood,1378,1890,5961
tahoe,2020,driver door(f/r),2800,3200,3500
tahoe,2020,fender (f/l),1119,991,3430
tahoe,2020,fender (f/r),1119,991,3430
tahoe,2020,fender (r/l),2900,2100,2500
tahoe,2020,fender (r/r),2900,2100,2500
tahoe,2020,front bumper,412,2830,3312
tahoe,2020,headlight (l),1288,927,4395.3
tahoe,2020,headlight (r),1288,927,4395.3
tahoe,2020,passenger door (f/l),2500,3400,3000
tahoe,2020,passenger door (r/l),2500,3400,3000
tahoe,2020,passenger door (r/r),2500,3400,3000
tahoe,2020,rear bumper,1680,1045,4168
tahoe,2020,rear light (l),868,492,1666
tahoe,2020,rear light (r),868,492,1666
tahoe,2020,side bumper(l),null,550,600
tahoe,2020,side bumper(r),null,550,650
tahoe,2021,car boot,6000,6500,7000
tahoe,2021,car hood,1150,2600,5961
tahoe,2021,driver door(f/r),4100,5500,4300
tahoe,2021,fender (f/l),407,680,2300
tahoe,2021,fender (f/r),407,680,2300
tahoe,2021,fender (r/l),4900,5500,6000
tahoe,2021,fender (r/r),4900,5500,6000
tahoe,2021,front bumper,2060,2830,3312
tahoe,2021,headlight (l),1030,1650,1840
tahoe,2021,headlight (r),1030,1650,1840
tahoe,2021,passenger door (f/l),5350,5100,5500
tahoe,2021,passenger door (r/l),5350,5100,5500
tahoe,2021,passenger door (r/r),5350,5100,5500
tahoe,2021,rear bumper,1800,2400,4168
tahoe,2021,rear light (l),708,1400,1666
tahoe,2021,rear light (r),708,1400,1666
tahoe,2021,side bumper(l),null,470,600
